background_class,pred_human,pred_background,total,human_acc,background_error
presenting weather forecast,2,49,55,0.0363636363636363,0.8909090909090909
decorating the christmas tree,3,49,65,0.0461538461538461,0.7538461538461538
cutting pineapple,0,38,54,0.0,0.7037037037037037
ice skating,0,34,49,0.0,0.6938775510204082
cleaning toilet,0,32,47,0.0,0.6808510638297872
frying vegetables,0,33,49,0.0,0.673469387755102
jumping into pool,2,31,47,0.0425531914893617,0.6595744680851063
changing oil,2,35,54,0.037037037037037,0.6481481481481481
milking cow,4,29,45,0.0888888888888888,0.6444444444444445
playing chess,1,31,49,0.0204081632653061,0.6326530612244898
cutting watermelon,0,27,43,0.0,0.627906976744186
feeding fish,2,36,59,0.0338983050847457,0.6101694915254238
bowling,1,32,54,0.0185185185185185,0.5925925925925926
assembling computer,2,28,49,0.0408163265306122,0.5714285714285714
playing monopoly,1,33,60,0.0166666666666666,0.55
grinding meat,1,28,51,0.0196078431372549,0.5490196078431373
golf chipping,0,38,72,0.0,0.5277777777777778
flipping pancake,4,25,48,0.0833333333333333,0.5208333333333334
cooking egg,2,29,57,0.0350877192982456,0.5087719298245614
playing tennis,3,25,50,0.06,0.5
shearing sheep,0,26,53,0.0,0.490566037735849
baking cookies,4,26,55,0.0727272727272727,0.4727272727272727
cooking on campfire,2,24,51,0.0392156862745098,0.4705882352941176
cleaning shoes,4,29,62,0.064516129032258,0.4677419354838709
sailing,0,20,43,0.0,0.4651162790697674
carving pumpkin,1,26,56,0.0178571428571428,0.4642857142857143
feeding goats,1,25,54,0.0185185185185185,0.4629629629629629
swimming backstroke,1,26,57,0.0175438596491228,0.4561403508771929
tossing salad,2,26,58,0.0344827586206896,0.4482758620689655
cooking chicken,2,29,65,0.0307692307692307,0.4461538461538462
petting cat,4,23,53,0.0754716981132075,0.4339622641509434
clay pottery making,3,26,60,0.05,0.4333333333333333
bouncing on trampoline,1,25,58,0.0172413793103448,0.4310344827586206
blowing out candles,3,29,68,0.0441176470588235,0.4264705882352941
parasailing,0,24,60,0.0,0.4
playing controller,2,24,60,0.0333333333333333,0.4
drawing,0,19,48,0.0,0.3958333333333333
counting money,3,18,46,0.0652173913043478,0.391304347826087
riding camel,1,18,46,0.0217391304347826,0.391304347826087
riding mechanical bull,5,22,57,0.087719298245614,0.3859649122807017
riding elephant,2,25,66,0.0303030303030303,0.3787878787878788
playing drums,3,21,56,0.0535714285714285,0.375
pumping gas,2,22,59,0.0338983050847457,0.3728813559322034
using computer,1,19,51,0.0196078431372549,0.3725490196078431
running on treadmill,1,17,46,0.0217391304347826,0.3695652173913043
exercising with an exercise ball,3,17,47,0.0638297872340425,0.3617021276595745
ice climbing,0,22,61,0.0,0.360655737704918
playing keyboard,0,20,56,0.0,0.3571428571428571
arranging flowers,1,21,59,0.0169491525423728,0.3559322033898305
playing piano,6,16,45,0.1333333333333333,0.3555555555555555
pushing wheelchair,3,19,54,0.0555555555555555,0.3518518518518518
balloon blowing,2,20,57,0.0350877192982456,0.3508771929824561
mowing lawn,0,18,53,0.0,0.3396226415094339
playing squash or racquetball,3,19,58,0.0517241379310344,0.3275862068965517
training dog,2,18,55,0.0363636363636363,0.3272727272727272
ice fishing,0,15,47,0.0,0.3191489361702128
skydiving,4,15,47,0.0851063829787234,0.3191489361702128
cleaning windows,4,14,44,0.0909090909090909,0.3181818181818182
picking fruit,3,20,63,0.0476190476190476,0.3174603174603174
making a sandwich,2,17,54,0.037037037037037,0.3148148148148148
checking tires,1,24,77,0.0129870129870129,0.3116883116883117
feeding birds,2,15,49,0.0408163265306122,0.3061224489795918
brush painting,0,17,56,0.0,0.3035714285714285
unboxing,3,16,54,0.0555555555555555,0.2962962962962963
scuba diving,0,17,58,0.0,0.293103448275862
playing cymbals,4,17,58,0.0689655172413793,0.293103448275862
playing bass guitar,1,14,48,0.0208333333333333,0.2916666666666667
making snowman,1,15,52,0.0192307692307692,0.2884615384615384
paragliding,1,20,70,0.0142857142857142,0.2857142857142857
barbequing,2,14,50,0.04,0.28
kitesurfing,0,19,68,0.0,0.2794117647058823
surfing water,1,11,40,0.025,0.275
shooting goal (soccer),2,15,56,0.0357142857142857,0.2678571428571428
taking a shower,3,13,50,0.06,0.26
bungee jumping,2,14,54,0.037037037037037,0.2592592592592592
cleaning gutters,3,16,62,0.0483870967741935,0.2580645161290322
playing poker,1,11,43,0.0232558139534883,0.2558139534883721
juggling fire,5,11,43,0.1162790697674418,0.2558139534883721
kicking field goal,1,11,44,0.0227272727272727,0.25
shoveling snow,3,11,44,0.0681818181818181,0.25
playing cello,2,13,52,0.0384615384615384,0.25
snorkeling,0,15,60,0.0,0.25
snowkiting,1,14,57,0.0175438596491228,0.2456140350877192
laying bricks,2,12,49,0.0408163265306122,0.2448979591836734
driving tractor,1,12,49,0.0204081632653061,0.2448979591836734
bee keeping,0,11,45,0.0,0.2444444444444444
chopping wood,3,11,45,0.0666666666666666,0.2444444444444444
changing wheel,0,13,54,0.0,0.2407407407407407
snowboarding,1,13,54,0.0185185185185185,0.2407407407407407
sled dog racing,0,13,54,0.0,0.2407407407407407
playing harp,2,12,50,0.04,0.24
riding mountain bike,1,12,50,0.02,0.24
catching fish,1,11,46,0.0217391304347826,0.2391304347826087
climbing tree,3,16,67,0.044776119402985,0.2388059701492537
water skiing,3,14,59,0.0508474576271186,0.2372881355932203
spray painting,1,13,55,0.0181818181818181,0.2363636363636363
grooming horse,2,12,51,0.0392156862745098,0.2352941176470588
doing laundry,2,12,51,0.0392156862745098,0.2352941176470588
peeling potatoes,4,11,47,0.0851063829787234,0.2340425531914893
cleaning floor,2,11,47,0.0425531914893617,0.2340425531914893
cleaning pool,1,12,52,0.0192307692307692,0.2307692307692307
hitting baseball,3,10,45,0.0666666666666666,0.2222222222222222
playing trombone,2,14,64,0.03125,0.21875
cooking sausages,1,12,55,0.0181818181818181,0.2181818181818181
wrestling,4,11,51,0.0784313725490196,0.2156862745098039
playing accordion,5,13,61,0.081967213114754,0.2131147540983606
weaving basket,1,11,52,0.0192307692307692,0.2115384615384615
hammer throw,2,12,57,0.0350877192982456,0.2105263157894736
dribbling basketball,7,13,62,0.1129032258064516,0.2096774193548387
bobsledding,0,10,49,0.0,0.2040816326530612
riding or walking with horse,3,12,59,0.0508474576271186,0.2033898305084746
bench pressing,5,12,59,0.0847457627118644,0.2033898305084746
bending metal,3,12,59,0.0508474576271186,0.2033898305084746
folding napkins,2,12,59,0.0338983050847457,0.2033898305084746
pushing cart,1,11,55,0.0181818181818181,0.2
flying kite,5,12,60,0.0833333333333333,0.2
egg hunting,0,11,55,0.0,0.2
crossing river,1,9,46,0.0217391304347826,0.1956521739130435
rock climbing,1,9,46,0.0217391304347826,0.1956521739130435
garbage collecting,0,12,62,0.0,0.1935483870967742
diving cliff,0,12,62,0.0,0.1935483870967742
unloading truck,1,11,57,0.0175438596491228,0.1929824561403508
making pizza,3,11,57,0.0526315789473684,0.1929824561403508
playing paintball,4,10,52,0.0769230769230769,0.1923076923076923
pushing car,3,10,52,0.0576923076923076,0.1923076923076923
eating spaghetti,1,12,63,0.0158730158730158,0.1904761904761904
blowing glass,1,12,63,0.0158730158730158,0.1904761904761904
scrambling eggs,1,11,58,0.0172413793103448,0.1896551724137931
passing American football (in game),2,10,53,0.0377358490566037,0.1886792452830188
hurdling,0,11,59,0.0,0.1864406779661017
windsurfing,2,8,43,0.0465116279069767,0.1860465116279069
riding unicycle,2,10,54,0.037037037037037,0.1851851851851851
playing cricket,2,10,55,0.0363636363636363,0.1818181818181818
watering plants,3,13,72,0.0416666666666666,0.1805555555555555
gymnastics tumbling,1,9,50,0.02,0.18
smoking hookah,4,9,51,0.0784313725490196,0.1764705882352941
punching person (boxing),4,13,75,0.0533333333333333,0.1733333333333333
peeling apples,1,9,52,0.0192307692307692,0.173076923076923
shuffling cards,2,9,52,0.0384615384615384,0.173076923076923
hoverboarding,4,9,52,0.0769230769230769,0.173076923076923
skateboarding,1,7,41,0.024390243902439,0.1707317073170731
skiing crosscountry,1,8,47,0.0212765957446808,0.1702127659574468
punching bag,2,9,53,0.0377358490566037,0.1698113207547169
setting table,1,9,53,0.0188679245283018,0.1698113207547169
juggling soccer ball,3,11,67,0.044776119402985,0.1641791044776119
hopscotch,3,9,56,0.0535714285714285,0.1607142857142857
massaging person's head,3,9,56,0.0535714285714285,0.1607142857142857
jetskiing,1,9,56,0.0178571428571428,0.1607142857142857
playing badminton,2,9,57,0.0350877192982456,0.1578947368421052
biking through snow,1,7,45,0.0222222222222222,0.1555555555555555
parkour,4,10,66,0.0606060606060606,0.1515151515151515
baby waking up,6,8,53,0.1132075471698113,0.1509433962264151
bartending,2,9,60,0.0333333333333333,0.15
using segway,3,8,54,0.0555555555555555,0.1481481481481481
planting trees,2,8,54,0.037037037037037,0.1481481481481481
long jump,2,10,68,0.0294117647058823,0.1470588235294117
tapping guitar,3,7,48,0.0625,0.1458333333333333
making bed,1,8,55,0.0181818181818181,0.1454545454545454
swimming breast stroke,0,8,55,0.0,0.1454545454545454
washing dishes,1,7,49,0.0204081632653061,0.1428571428571428
riding a bike,0,7,49,0.0,0.1428571428571428
extinguishing fire,0,6,43,0.0,0.1395348837209302
grooming dog,3,9,65,0.0461538461538461,0.1384615384615384
eating hotdog,6,9,65,0.0923076923076923,0.1384615384615384
disc golfing,1,7,52,0.0192307692307692,0.1346153846153846
eating cake,3,9,67,0.044776119402985,0.1343283582089552
digging,1,7,53,0.0188679245283018,0.1320754716981132
wrapping present,4,7,53,0.0754716981132075,0.1320754716981132
playing saxophone,2,7,54,0.037037037037037,0.1296296296296296
blowing leaves,2,7,54,0.037037037037037,0.1296296296296296
canoeing or kayaking,1,7,55,0.0181818181818181,0.1272727272727272
pole vault,2,7,55,0.0363636363636363,0.1272727272727272
water sliding,2,7,56,0.0357142857142857,0.125
playing guitar,5,7,57,0.087719298245614,0.1228070175438596
knitting,0,6,49,0.0,0.1224489795918367
dining,2,5,41,0.048780487804878,0.1219512195121951
hurling (sport),1,6,50,0.02,0.12
texting,4,6,50,0.08,0.12
building shed,1,5,42,0.0238095238095238,0.119047619047619
strumming guitar,2,7,59,0.0338983050847457,0.1186440677966101
washing hands,2,6,51,0.0392156862745098,0.1176470588235294
motorcycling,2,6,51,0.0392156862745098,0.1176470588235294
triple jump,0,7,60,0.0,0.1166666666666666
making jewelry,1,5,43,0.0232558139534883,0.1162790697674418
dunking basketball,5,5,43,0.1162790697674418,0.1162790697674418
building cabinet,1,7,61,0.0163934426229508,0.1147540983606557
playing organ,1,6,53,0.0188679245283018,0.1132075471698113
making tea,3,6,54,0.0555555555555555,0.1111111111111111
trimming trees,2,6,55,0.0363636363636363,0.109090909090909
eating watermelon,1,6,55,0.0181818181818181,0.109090909090909
dancing macarena,2,5,46,0.0434782608695652,0.108695652173913
shining shoes,4,6,56,0.0714285714285714,0.1071428571428571
clean and jerk,1,7,66,0.0151515151515151,0.106060606060606
folding paper,2,6,57,0.0350877192982456,0.1052631578947368
snowmobiling,0,5,51,0.0,0.0980392156862745
climbing a rope,3,5,52,0.0576923076923076,0.0961538461538461
making sushi,2,6,64,0.03125,0.09375
throwing axe,5,6,64,0.078125,0.09375
moving furniture,2,6,65,0.0307692307692307,0.0923076923076923
petting animal (not cat),2,5,56,0.0357142857142857,0.0892857142857142
skiing slalom,2,4,45,0.0444444444444444,0.0888888888888888
brushing teeth,1,5,57,0.0175438596491228,0.087719298245614
sharpening pencil,2,4,46,0.0434782608695652,0.0869565217391304
making a cake,1,4,46,0.0217391304347826,0.0869565217391304
using remote controller (not gaming),2,4,46,0.0434782608695652,0.0869565217391304
catching or throwing baseball,0,5,58,0.0,0.0862068965517241
opening bottle,0,5,58,0.0,0.0862068965517241
stomping grapes,1,4,47,0.0212765957446808,0.0851063829787234
testifying,3,4,47,0.0638297872340425,0.0851063829787234
sharpening knives,5,5,59,0.0847457627118644,0.0847457627118644
playing basketball,1,4,48,0.0208333333333333,0.0833333333333333
playing xylophone,2,3,36,0.0555555555555555,0.0833333333333333
reading newspaper,1,4,48,0.0208333333333333,0.0833333333333333
playing didgeridoo,1,4,49,0.0204081632653061,0.0816326530612244
walking the dog,2,4,49,0.0408163265306122,0.0816326530612244
capoeira,5,4,51,0.0980392156862745,0.0784313725490196
driving car,1,4,51,0.0196078431372549,0.0784313725490196
exercising arm,1,4,52,0.0192307692307692,0.0769230769230769
playing volleyball,1,4,52,0.0192307692307692,0.0769230769230769
folding clothes,3,5,65,0.0461538461538461,0.0769230769230769
golf putting,1,4,54,0.0185185185185185,0.074074074074074
playing violin,2,3,41,0.048780487804878,0.073170731707317
shredding paper,0,4,57,0.0,0.0701754385964912
tai chi,3,3,43,0.0697674418604651,0.0697674418604651
crawling baby,5,4,61,0.081967213114754,0.0655737704918032
playing ukulele,3,4,61,0.0491803278688524,0.0655737704918032
busking,3,3,46,0.0652173913043478,0.0652173913043478
springboard diving,0,3,46,0.0,0.0652173913043478
welding,4,3,47,0.0851063829787234,0.0638297872340425
news anchoring,2,3,47,0.0425531914893617,0.0638297872340425
dodgeball,3,3,49,0.0612244897959183,0.0612244897959183
lunge,1,3,50,0.02,0.06
writing,1,3,51,0.0196078431372549,0.0588235294117647
jumpstyle dancing,7,3,51,0.1372549019607843,0.0588235294117647
massaging feet,4,3,51,0.0784313725490196,0.0588235294117647
roller skating,1,3,52,0.0192307692307692,0.0576923076923076
catching or throwing softball,2,3,52,0.0384615384615384,0.0576923076923076
snatch weight lifting,6,3,52,0.1153846153846153,0.0576923076923076
eating chips,3,4,70,0.0428571428571428,0.0571428571428571
climbing ladder,3,3,53,0.0566037735849056,0.0566037735849056
opening present,2,3,53,0.0377358490566037,0.0566037735849056
sanding floor,3,3,54,0.0555555555555555,0.0555555555555555
skipping rope,4,3,54,0.074074074074074,0.0555555555555555
swinging on something,1,3,54,0.0185185185185185,0.0555555555555555
slacklining,3,3,54,0.0555555555555555,0.0555555555555555
trapezing,1,3,54,0.0185185185185185,0.0555555555555555
riding mule,1,3,54,0.0185185185185185,0.0555555555555555
front raises,1,3,57,0.0175438596491228,0.0526315789473684
holding snake,4,3,59,0.0677966101694915,0.0508474576271186
eating ice cream,3,2,40,0.075,0.05
drumming fingers,1,3,64,0.015625,0.046875
sign language interpreting,7,2,43,0.1627906976744186,0.0465116279069767
auctioning,4,3,65,0.0615384615384615,0.0461538461538461
ski jumping,1,3,65,0.0153846153846153,0.0461538461538461
pull ups,2,2,44,0.0454545454545454,0.0454545454545454
tying bow tie,4,2,47,0.0851063829787234,0.0425531914893617
kicking soccer ball,1,2,49,0.0204081632653061,0.0408163265306122
yoga,1,2,49,0.0204081632653061,0.0408163265306122
surfing crowd,4,2,50,0.08,0.04
tasting beer,1,2,50,0.02,0.04
situp,3,2,51,0.0588235294117647,0.0392156862745098
archery,1,2,51,0.0196078431372549,0.0392156862745098
high kick,5,2,52,0.0961538461538461,0.0384615384615384
contact juggling,3,2,52,0.0576923076923076,0.0384615384615384
drinking beer,2,2,52,0.0384615384615384,0.0384615384615384
getting a haircut,6,2,53,0.1132075471698113,0.0377358490566037
spraying,1,2,53,0.0188679245283018,0.0377358490566037
blasting sand,3,2,54,0.0555555555555555,0.037037037037037
eating doughnuts,5,2,54,0.0925925925925925,0.037037037037037
swimming butterfly stroke,0,2,55,0.0,0.0363636363636363
throwing discus,2,2,55,0.0363636363636363,0.0363636363636363
passing American football (not in game),6,2,56,0.1071428571428571,0.0357142857142857
hockey stop,1,2,58,0.0172413793103448,0.0344827586206896
eating carrots,2,2,59,0.0338983050847457,0.0338983050847457
ironing,1,2,61,0.0163934426229508,0.0327868852459016
doing aerobics,3,2,61,0.0491803278688524,0.0327868852459016
eating burger,4,2,64,0.0625,0.03125
country line dancing,2,1,39,0.0512820512820512,0.0256410256410256
throwing ball,1,1,40,0.025,0.025
clapping,3,1,40,0.075,0.025
carrying baby,3,1,43,0.0697674418604651,0.0232558139534883
cutting nails,2,1,43,0.0465116279069767,0.0232558139534883
shaving legs,0,1,43,0.0,0.0232558139534883
swing dancing,2,1,44,0.0454545454545454,0.0227272727272727
hula hooping,5,1,44,0.1136363636363636,0.0227272727272727
washing hair,1,1,45,0.0222222222222222,0.0222222222222222
deadlifting,2,1,47,0.0425531914893617,0.0212765957446808
shot put,0,1,47,0.0,0.0212765957446808
cartwheeling,1,1,48,0.0208333333333333,0.0208333333333333
golf driving,2,1,48,0.0416666666666666,0.0208333333333333
tossing coin,2,1,48,0.0416666666666666,0.0208333333333333
blowing nose,5,1,49,0.1020408163265306,0.0204081632653061
playing trumpet,3,1,50,0.06,0.02
tap dancing,0,1,51,0.0,0.0196078431372549
mopping floor,2,1,52,0.0384615384615384,0.0192307692307692
stretching leg,4,1,52,0.0769230769230769,0.0192307692307692
tobogganing,5,1,52,0.0961538461538461,0.0192307692307692
krumping,2,1,53,0.0377358490566037,0.0188679245283018
shaking hands,1,1,54,0.0185185185185185,0.0185185185185185
dancing gangnam style,1,1,55,0.0181818181818181,0.0181818181818181
headbanging,2,1,55,0.0363636363636363,0.0181818181818181
recording music,2,1,56,0.0357142857142857,0.0178571428571428
reading book,5,1,56,0.0892857142857142,0.0178571428571428
ripping paper,7,1,56,0.125,0.0178571428571428
marching,2,1,57,0.0350877192982456,0.0175438596491228
catching or throwing frisbee,3,1,57,0.0526315789473684,0.0175438596491228
applying cream,6,1,57,0.1052631578947368,0.0175438596491228
playing cards,2,1,57,0.0350877192982456,0.0175438596491228
push up,4,1,57,0.0701754385964912,0.0175438596491228
robot dancing,2,1,58,0.0344827586206896,0.0172413793103448
salsa dancing,3,1,58,0.0517241379310344,0.0172413793103448
riding scooter,3,1,59,0.0508474576271186,0.0169491525423728
drop kicking,6,1,59,0.1016949152542373,0.0169491525423728
arm wrestling,2,1,60,0.0333333333333333,0.0166666666666666
juggling balls,5,1,60,0.0833333333333333,0.0166666666666666
playing bagpipes,5,1,64,0.078125,0.015625
playing recorder,2,1,66,0.0303030303030303,0.0151515151515151
high jump,3,1,66,0.0454545454545454,0.0151515151515151
pumping fist,5,1,66,0.0757575757575757,0.0151515151515151
finger snapping,4,1,67,0.0597014925373134,0.0149253731343283
playing ice hockey,4,1,71,0.056338028169014,0.0140845070422535
bandaging,2,0,55,0.0363636363636363,0.0
bending back,3,0,47,0.0638297872340425,0.0
applauding,3,0,56,0.0535714285714285,0.0
beatboxing,4,0,49,0.0816326530612244,0.0
trimming or shaving beard,3,0,49,0.0612244897959183,0.0
tying knot (not on a tie),1,0,48,0.0208333333333333,0.0
tying tie,4,0,41,0.0975609756097561,0.0
vault,4,0,57,0.0701754385964912,0.0
waiting in line,1,0,63,0.0158730158730158,0.0
waxing back,2,0,54,0.037037037037037,0.0
washing feet,6,0,55,0.109090909090909,0.0
jogging,1,0,51,0.0196078431372549,0.0
javelin throw,1,0,58,0.0172413793103448,0.0
kissing,2,0,54,0.037037037037037,0.0
laughing,9,0,58,0.1551724137931034,0.0
fixing hair,6,0,60,0.1,0.0
filling eyebrows,5,0,51,0.0980392156862745,0.0
faceplanting,1,0,52,0.0192307692307692,0.0
dying hair,1,0,52,0.0192307692307692,0.0
plastering,1,0,55,0.0181818181818181,0.0
drinking shots,0,0,54,0.0,0.0
playing clarinet,6,0,55,0.109090909090909,0.0
drinking,1,0,57,0.0175438596491228,0.0
giving or receiving award,3,0,48,0.0625,0.0
getting a tattoo,2,0,53,0.0377358490566037,0.0
gargling,2,0,46,0.0434782608695652,0.0
massaging back,3,0,53,0.0566037735849056,0.0
massaging legs,5,0,49,0.1020408163265306,0.0
headbutting,0,0,57,0.0,0.0
hugging,2,0,51,0.0392156862745098,0.0
belly dancing,2,0,41,0.048780487804878,0.0
breakdancing,2,0,46,0.0434782608695652,0.0
bookbinding,1,0,56,0.0178571428571428,0.0
braiding hair,3,0,44,0.0681818181818181,0.0
breading or breadcrumbing,1,0,58,0.0172413793103448,0.0
tickling,2,0,59,0.0338983050847457,0.0
shaking head,4,0,71,0.056338028169014,0.0
doing nails,1,0,38,0.0263157894736842,0.0
rock scissors paper,1,0,54,0.0185185185185185,0.0
playing harmonica,4,0,51,0.0784313725490196,0.0
playing flute,2,0,44,0.0454545454545454,0.0
playing kickball,1,0,40,0.025,0.0
cracking neck,2,0,47,0.0425531914893617,0.0
curling hair,4,0,57,0.0701754385964912,0.0
crying,3,0,55,0.0545454545454545,0.0
dancing ballet,5,0,46,0.108695652173913,0.0
dancing charleston,1,0,58,0.0172413793103448,0.0
skiing (not slalom or crosscountry),1,0,52,0.0192307692307692,0.0
singing,4,0,50,0.08,0.0
side kick,4,0,53,0.0754716981132075,0.0
shooting basketball,1,0,42,0.0238095238095238,0.0
shaving head,4,0,53,0.0754716981132075,0.0
sticking tongue out,4,0,46,0.0869565217391304,0.0
somersaulting,4,0,51,0.0784313725490196,0.0
squat,3,0,53,0.0566037735849056,0.0
sniffing,2,0,52,0.0384615384615384,0.0
sneezing,3,0,48,0.0625,0.0
slapping,1,0,49,0.0204081632653061,0.0
spinning poi,3,0,59,0.0508474576271186,0.0
cheerleading,4,0,58,0.0689655172413793,0.0
celebrating,3,0,37,0.081081081081081,0.0
smoking,3,0,42,0.0714285714285714,0.0
brushing hair,2,0,49,0.0408163265306122,0.0
tapping pen,5,0,64,0.078125,0.0
tango dancing,4,0,54,0.074074074074074,0.0
swinging legs,1,0,54,0.0185185185185185,0.0
sword fighting,1,0,55,0.0181818181818181,0.0
stretching arm,5,0,59,0.0847457627118644,0.0
sweeping floor,1,0,51,0.0196078431372549,0.0
waxing chest,8,0,54,0.1481481481481481,0.0
tasting food,4,0,52,0.0769230769230769,0.0
answering questions,3,0,37,0.081081081081081,0.0
waxing legs,4,0,67,0.0597014925373134,0.0
waxing eyebrows,3,0,42,0.0714285714285714,0.0
whistling,4,0,53,0.0754716981132075,0.0
abseiling,3,0,53,0.0566037735849056,0.0
air drumming,1,0,55,0.0181818181818181,0.0
yawning,2,0,48,0.0416666666666666,0.0
zumba,2,0,45,0.0444444444444444,0.0
